title|May2002|July2002|October2002|December2002|April2003|May2003|July2003|August2003|November2003|February2004|April2004|August2004|October2004|April2005|October2005|April2006|September2006|March2007|June2007|September2007|March2008|May2008|September2008|March2009|September2009|March2010|September2010|title|March2011|September2011|March2012|September2012|March2013|September2013|October2013|January2014|April2014|July2014|October2014|January2015|April2015|July2015|November2015|February2016|April2016|August2016|March2017|June2017|September2017|November2017|February2018|May2018|September2018|December2018|January2019|April2019|July2019|October2019|January2020|April2020|June2020|September2020|December2020|title|March2021|July2021|October2021|February2022|May2022
Eclipse Wyvern||||||||||||||||||||||||||||Eclipse Wyvern|||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|Eclipse Wyvern|0|0|0|0|0
Ehther the Heavenly Monarch||||||||||||||||||||||||||||Ehther the Heavenly Monarch||||||||||||||||3|3|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|Ehther the Heavenly Monarch|3|3|3|3|3
El Shaddoll Construct||||||||||||||||||||||||||||El Shaddoll Construct|||||||||||3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|3|3|3|3|3|3|El Shaddoll Construct|3|3|3|3|3
El Shaddoll Fusion||||||||||||||||||||||||||||El Shaddoll Fusion||||||||||||3|3|3|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|El Shaddoll Fusion|3|3|3|3|3
Elder Entity Norden||||||||||||||||||||||||||||Elder Entity Norden|||||||||||||||3|3|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Elder Entity Norden|0|0|0|0|0
Elemental HERO Stratos||||||||||||||||||1|1|1|1|1|1|1|1|1|1|Elemental HERO Stratos|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|3|3|3|3|3|3|Elemental HERO Stratos|3|3|3|3|3
Emergency Provisions||||||||||||3|3|2|2|2|3|3|3|3|3|3|3|3|3|3|3|Emergency Provisions|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Emergency Provisions|3|3|3|3|3
Emergency Teleport|||||||||||||||||||||||3|1|1|1|1|Emergency Teleport|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Emergency Teleport|1|1|2|3|3
Eradicator Epidemic Virus|||||||||||||||||||3|3|3|3|3|3|3|3|3|Eradicator Epidemic Virus|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|Eradicator Epidemic Virus|3|3|3|3|3
Eva||||||||||||||||||||||||||||Eva|||||||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|Eva|3|3|1|0|0
Evigishki Gustkraken||||||||||||||||||||||||||||Evigishki Gustkraken||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|Evigishki Gustkraken|3|3|3|3|3
Evigishki Mind Augus||||||||||||||||||||||||||||Evigishki Mind Augus|||3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|Evigishki Mind Augus|3|3|3|3|3
Evilswarm Exciton Knight||||||||||||||||||||||||||||Evilswarm Exciton Knight|||||||||3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|1|1|3|3|3|3|3|3|3|3|3|Evilswarm Exciton Knight|3|3|3|3|3
Exchange of the Spirit|||||||||||||||1|0|0|0|0|0|0|0|0|0|0|0|0|Exchange of the Spirit|0|0|0|0|0|0|0|0|0|0|0|0|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Exchange of the Spirit|3|3|3|3|3
Exiled Force|||||||1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|Exiled Force|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Exiled Force|3|3|3|3|3
Exodia the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Exodia the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Exodia the Forbidden One|1|1|1|1|1
Fairy Tail - Snow||||||||||||||||||||||||||||Fairy Tail - Snow||||||||||||||||||3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|Fairy Tail - Snow|0|0|0|1|1
Fiber Jar|||||||1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Fiber Jar|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Fiber Jar|0|0|0|0|0
Final Countdown||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|Final Countdown|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Final Countdown|1|1|1|1|1
Fire Formation - Tenki||||||||||||||||||||||||||||Fire Formation - Tenki|||||3|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Fire Formation - Tenki|3|3|1|1|2
Firewall Dragon||||||||||||||||||||||||||||Firewall Dragon|||||||||||||||||||||3|3|1|1|1|0|0|0|0|0|0|0|0|0|0|Firewall Dragon|3|3|3|3|3
Fishborg Blaster|||||||||||||||||||||||||3|3|3|Fishborg Blaster|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Fishborg Blaster|0|0|0|0|0
Fissure|||||||||||3|3|3|3|3|3|3|3|3|1|1|1|1|1|3|3|3|Fissure|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Fissure|3|3|3|3|3
Foolish Burial|||||||||||||||||||||2|2|2|2|2|1|1|Foolish Burial|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Foolish Burial|1|1|1|1|1
Formula Synchron||||||||||||||||||||||||||||Formula Synchron|3|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Formula Synchron|3|3|3|3|3
Fusion Destiny||||||||||||||||||||||||||||Fusion Destiny|||||||||||||||||||||||||||||3|3|3|3|3|3|3|Fusion Destiny|3|3|3|2|2
Future Fusion|||||||||||||||||1|1|1|1|1|1|1|1|1|1|1|Future Fusion|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|Future Fusion|3|3|3|3|3
Gateway of the Six||||||||||||||||||||||||||3|3|Gateway of the Six|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Gateway of the Six|1|1|1|1|1
Geargiagear||||||||||||||||||||||||||||Geargiagear||||||3|3|3|3|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Geargiagear|3|3|3|3|3
Gem-Knight Master Diamond||||||||||||||||||||||||||||Gem-Knight Master Diamond||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|Gem-Knight Master Diamond|1|1|1|1|1
Genex Ally Birdman||||||||||||||||||||||||||||Genex Ally Birdman||3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Genex Ally Birdman|1|1|1|1|1
Giant Trunade|||3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|1|1|1|1|1|1|1|1|1|1|Giant Trunade|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Giant Trunade|0|0|0|0|0
Gladiator Beast Bestiari|||||||||||||||||||||3|3|3|1|1|1|1|Gladiator Beast Bestiari|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Gladiator Beast Bestiari|3|3|3|3|3
Glow-Up Bulb||||||||||||||||||||||||||||Glow-Up Bulb|3|3|0|0|0|0|0|0|0|0|1|1|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|Glow-Up Bulb|0|0|0|0|0
Goblin Zombie|||||||||||||||||||||3|3|3|2|2|2|3|Goblin Zombie|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Goblin Zombie|3|3|3|3|3
Gold Sarcophagus||||||||||||||||||||1|1|1|1|2|2|2|2|Gold Sarcophagus|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|Gold Sarcophagus|1|1|1|1|1
Good Goblin Housekeeping||||||||||||||2|2|2|2|2|2|3|3|3|3|3|3|3|3|Good Goblin Housekeeping|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Good Goblin Housekeeping|3|3|3|3|3
Gorz the Emissary of Darkness|||||||||||||||||||||||1|1|1|1|1|Gorz the Emissary of Darkness|1|1|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Gorz the Emissary of Darkness|3|3|3|3|3
Goyo Guardian||||||||||||||||||||||||1|1|1|1|Goyo Guardian|0|0|0|0|0|0|0|0|0|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Goyo Guardian|3|3|3|3|3
Graceful Charity|||||3|2|2|1|1|1|1|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|Graceful Charity|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Graceful Charity|0|0|0|0|0
Graff, Malebranche of the Burning Abyss||||||||||||||||||||||||||||Graff, Malebranche of the Burning Abyss|||||||||||3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3|Graff, Malebranche of the Burning Abyss|3|3|3|3|3
Grandsoil the Elemental Lord||||||||||||||||||||||||||||Grandsoil the Elemental Lord|||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|3|3|3|3|3|3|3|3|3|3|3|3|Grandsoil the Elemental Lord|3|3|3|3|3
Gravity Bind||||3|3|3|3|3|3|3|3|3|3|2|2|2|1|1|1|1|1|1|1|1|1|1|1|Gravity Bind|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Gravity Bind|3|3|3|3|3
Green Baboon, Defender of the Forest|||||||||||||||||||1|1|1|1|1|2|3|3|3|Green Baboon, Defender of the Forest|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Green Baboon, Defender of the Forest|3|3|3|3|3
Green Gadget||||||||||||||||||3|3|2|3|3|3|3|3|3|3|Green Gadget|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Green Gadget|3|3|3|3|3
Grinder Golem|||||||||||||||||||||3|3|3|3|3|3|3|Grinder Golem|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|0|0|0|0|0|0|0|0|0|Grinder Golem|0|0|0|0|0
Guardragon Agarpain||||||||||||||||||||||||||||Guardragon Agarpain||||||||||||||||||||||||||||3|3|0|0|0|0|0|0|Guardragon Agarpain|0|0|0|0|0
Guardragon Elpy||||||||||||||||||||||||||||Guardragon Elpy||||||||||||||||||||||||||||3|3|3|3|3|3|3|3|Guardragon Elpy|3|0|0|0|0
Harpie's Feather Duster|||||3|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Harpie's Feather Duster|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|Harpie's Feather Duster|1|1|1|1|1
Heavy Storm||2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|Heavy Storm|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Heavy Storm|0|0|0|0|0
Heavymetalfoes Electrumite||||||||||||||||||||||||||||Heavymetalfoes Electrumite|||||||||||||||||||||||3|3|1|1|1|1|1|1|0|0|0|0|0|Heavymetalfoes Electrumite|0|0|0|0|0
Hieratic Seal of Convocation||||||||||||||||||||||||||||Hieratic Seal of Convocation||||2|2|3|3|3|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Hieratic Seal of Convocation|3|3|3|3|3
Honest|||||||||||||||3|3|3|3|3|3|3|3|3|3|3|2|2|Honest|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Honest|3|3|3|3|3
Ib the World Chalice Justiciar||||||||||||||||||||||||||||Ib the World Chalice Justiciar|||||||||||||||||||||||||||||3|3|0|0|0|0|0|Ib the World Chalice Justiciar|0|0|0|0|0
Icarus Attack|||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|Icarus Attack|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Icarus Attack|3|3|3|3|3
Ignis Heat, the True Dracowarrior||||||||||||||||||||||||||||Ignis Heat, the True Dracowarrior||||||||||||||||||||3|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|Ignis Heat, the True Dracowarrior|3|3|3|3|3
Ignister Prominence, the Blasting Dracoslayer||||||||||||||||||||||||||||Ignister Prominence, the Blasting Dracoslayer|||||||||||||||3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Ignister Prominence, the Blasting Dracoslayer|3|3|3|3|3
Imperial Order||||1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Imperial Order|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Imperial Order|1|1|1|0|0
Infernity Archfiend|||||||||||||||||||||||||||3|Infernity Archfiend|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Infernity Archfiend|1|1|1|1|1
Infernity Barrier|||||||||||||||||||||||||||3|Infernity Barrier|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|Infernity Barrier|3|3|3|3|3
Infernity Launcher|||||||||||||||||||||||||||1|Infernity Launcher|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Infernity Launcher|1|1|1|1|1
Injection Fairy Lily|||||||1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|Injection Fairy Lily|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Injection Fairy Lily|3|3|3|3|3
Instant Fusion||||||||||||||||||3|3|3|3|3|3|3|3|3|3|Instant Fusion|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|Instant Fusion|1|1|1|1|1
Interrupted Kaiju Slumber||||||||||||||||||||||||||||Interrupted Kaiju Slumber||||||||||||||||3|3|3|2|2|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|Interrupted Kaiju Slumber|3|3|3|3|3
Into the Void|||||||||||||||||||||||||||3|Into the Void|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|Into the Void|1|1|1|1|1
Inzektor Dragonfly||||||||||||||||||||||||||||Inzektor Dragonfly|||3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|Inzektor Dragonfly|3|3|3|3|3
Inzektor Hornet||||||||||||||||||||||||||||Inzektor Hornet|||3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|Inzektor Hornet|3|3|3|3|3
Jet Synchron||||||||||||||||||||||||||||Jet Synchron|||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|Jet Synchron|0|0|0|0|1
Jinzo||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|Jinzo|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Jinzo|3|3|3|3|3
Judgment Dragon|||||||||||||||||||||||2|2|2|2|2|Judgment Dragon|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Judgment Dragon|3|3|3|3|3
Kaiser Colosseum||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|Kaiser Colosseum|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Kaiser Colosseum|0|0|0|0|0
Knightmare Goblin||||||||||||||||||||||||||||Knightmare Goblin||||||||||||||||||||||||3|0|0|0|0|0|0|0|0|0|0|0|Knightmare Goblin|0|0|0|0|0
Knightmare Mermaid||||||||||||||||||||||||||||Knightmare Mermaid||||||||||||||||||||||||3|3|3|3|3|3|0|0|0|0|0|0|Knightmare Mermaid|0|0|0|0|0
Kozmo Dark Destroyer||||||||||||||||||||||||||||Kozmo Dark Destroyer|||||||||||||||3|3|3|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|Kozmo Dark Destroyer|3|3|3|3|3
Lady Debug||||||||||||||||||||||||||||Lady Debug|||||||||||||||||||||||||3|3|3|1|1|1|3|3|3|3|3|Lady Debug|3|3|3|3|3
Last Turn|||||||2|2|2|2|2|2|2|2|2|0|0|0|0|0|0|0|0|0|0|0|0|Last Turn|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Last Turn|0|0|0|0|0
Last Will|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|0|0|0|0|0|0|0|0|0|0|Last Will|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Last Will|0|0|0|0|0
Lavalval Chain||||||||||||||||||||||||||||Lavalval Chain||||||3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Lavalval Chain|0|0|0|0|0
Left Arm of the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Left Arm of the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Left Arm of the Forbidden One|1|1|1|1|1
Left Leg of the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Left Leg of the Forbidden One|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Left Leg of the Forbidden One|1|1|1|1|1
Legendary Six Samurai - Shi En||||||||||||||||||||||||||||Legendary Six Samurai - Shi En|3|1|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Legendary Six Samurai - Shi En|3|3|3|3|3
Level Eater||||||||||||||||||||||||||3|3|Level Eater|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|Level Eater|0|0|0|0|0
Level Limit - Area B||||||||||||3|3|2|2|1|1|1|1|1|1|1|1|1|1|1|1|Level Limit - Area B|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Level Limit - Area B|3|3|3|3|3
Light and Darkness Dragon|||||||||||||||||||||2|2|3|3|3|3|3|Light and Darkness Dragon|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Light and Darkness Dragon|3|3|3|3|3
Lightning Vortex||||||||||||||1|1|1|3|3|3|3|3|3|3|3|3|3|3|Lightning Vortex|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Lightning Vortex|3|3|3|3|3
Lightning, Dragon Ruler of Drafts||||||||||||||||||||||||||||Lightning, Dragon Ruler of Drafts||||||0|0|0|0|0|0|0|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Lightning, Dragon Ruler of Drafts|3|3|3|3|3
Limiter Removal||||1|1|1|1|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|Limiter Removal|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|Limiter Removal|3|3|3|3|3
Linkross||||||||||||||||||||||||||||Linkross||||||||||||||||||||||||||||||||3|3|3|0|Linkross|0|0|0|0|0
Lonefire Blossom|||||||||||||||||||||3|3|3|3|2|2|2|Lonefire Blossom|2|1|1|1|1|1|1|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Lonefire Blossom|3|3|3|3|3
Lumina, Lightsworn Summoner|||||||||||||||||||||||3|3|3|1|1|Lumina, Lightsworn Summoner|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Lumina, Lightsworn Summoner|3|3|3|3|3
Lunalight Tiger||||||||||||||||||||||||||||Lunalight Tiger|||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|Lunalight Tiger|0|0|0|1|1
Luster Pendulum, the Dracoslayer||||||||||||||||||||||||||||Luster Pendulum, the Dracoslayer|||||||||||||||3|1|1|1|1|1|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|Luster Pendulum, the Dracoslayer|3|3|3|3|3
Lyrilusc - Recital Starling||||||||||||||||||||||||||||Lyrilusc - Recital Starling||||||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|Lyrilusc - Recital Starling|3|3|3|1|1
M-X-Saber Invoker||||||||||||||||||||||||||||M-X-Saber Invoker|||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|M-X-Saber Invoker|0|0|0|0|0
Macro Cosmos|||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|Macro Cosmos|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Macro Cosmos|1|1|1|1|1
Mage Power|||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|Mage Power|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Mage Power|3|3|3|3|3
Magic Cylinder|||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|Magic Cylinder|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Magic Cylinder|3|3|3|3|3
Magical Explosion|||||||||||||||3|3|3|3|3|3|3|3|3|3|3|1|1|Magical Explosion|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|Magical Explosion|1|1|1|1|1
Magical Mid-Breaker Field||||||||||||||||||||||||||||Magical Mid-Breaker Field||||||||||||||||||3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|Magical Mid-Breaker Field|1|1|1|1|1
Magical Scientist||||||||||1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Magical Scientist|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Magical Scientist|0|0|0|0|0
Magical Stone Excavation||||||||||||||||||3|1|1|2|2|2|2|2|2|2|Magical Stone Excavation|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Magical Stone Excavation|3|3|3|3|3
Magician of Faith||3|3|3|3|3|3|3|3|3|3|3|3|3|1|2|1|0|0|1|0|0|0|0|0|0|0|Magician of Faith|0|0|0|0|0|0|0|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Magician of Faith|3|3|3|3|3
Majespecter Unicorn - Kirin||||||||||||||||||||||||||||Majespecter Unicorn - Kirin|||||||||||||||3|3|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Majespecter Unicorn - Kirin|0|0|0|0|0
Makyura the Destructor||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|Makyura the Destructor|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|3|Makyura the Destructor|3|3|3|3|3
Manticore of Darkness|||||||||||2|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|Manticore of Darkness|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Manticore of Darkness|3|3|3|3|3
Marauding Captain|||||||2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|Marauding Captain|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|Marauding Captain|3|3|3|3|3
